20000;нефтепроводная;{"name": "нефтепроводная"}
20001;нефтепроводный;{"name": "нефтепроводный"}
20002;нефтехимиков;{"name": "нефтехимиков"}
20003;нефтеюганск;{"name": "нефтеюганск"}
20004;нефтеюганская;{"name": "нефтеюганская"}
20005;нефтеюганский;{"name": "нефтеюганский"}
20006;нефтеюганское;{"name": "нефтеюганское"}
20007;нефтник;{"name": "нефтник"}
20008;нефтяная;{"name": "нефтяная"}
20009;нефтяник;{"name": "нефтяник"}
20010;нефтяников;{"name": "нефтяников"}
20011;нефтяников 1й;{"name": "нефтяников 1й"}
20012;нефтяников 3й;{"name": "нефтяников 3й"}
20013;нефтяник2;{"name": "нефтяник2"}
20014;нефтяник4;{"name": "нефтяник4"}
20015;нефтяник90;{"name": "нефтяник90"}
20016;нефтянников;{"name": "нефтянников"}
20017;нефтянник80;{"name": "нефтянник80"}
20018;нефтянник94;{"name": "нефтянник94"}
20019;нефтяной;{"name": "нефтяной"}
20020;нефтяной 1й;{"name": "нефтяной 1й"}
20021;нефтяной 1й п;{"name": "нефтяной 1й п"}
20022;нефтяной 2й;{"name": "нефтяной 2й"}
20023;нефтяной 2й п;{"name": "нефтяной 2й п"}
20024;нефтяной 3й;{"name": "нефтяной 3й"}
20025;нехаева;{"name": "нехаева"}
20026;нехинская;{"name": "нехинская"}
20027;нехорошкова;{"name": "нехорошкова"}
20028;нехотеевка село;{"name": "нехотеевка село"}
20029;нечаева;{"name": "нечаева"}
20030;нечаевка;{"name": "нечаевка"}
20031;нечаево;{"name": "нечаево"}
20032;нечаевская;{"name": "нечаевская"}
20033;нечаевский;{"name": "нечаевский"}
20034;нечаевское;{"name": "нечаевское"}
20035;нечая;{"name": "нечая"}
20036;нечевский;{"name": "нечевский"}
20037;нечепуренко;{"name": "нечепуренко"}
20038;нечетный парк;{"name": "нечетный парк"}
20039;нзабродина;{"name": "нзабродина"}
20040;нзверева;{"name": "нзверева"}
20041;нивский;{"name": "нивский"}
20042;нившера;{"name": "нившера"}
20043;нигматуллина;{"name": "нигматуллина"}
20044;нижегородская;{"name": "нижегородская"}
20045;нижегородское;{"name": "нижегородское"}
20046;нижнеамурская;{"name": "нижнеамурская"}
20047;нижнеамурский;{"name": "нижнеамурский"}
20048;нижнебаканская;{"name": "нижнебаканская"}
20049;нижнебереговая;{"name": "нижнебереговая"}
20050;нижнеберезовая;{"name": "нижнеберезовая"}
20051;нижнебульварная;{"name": "нижнебульварная"}
20052;нижневалдайская;{"name": "нижневалдайская"}
20053;нижневартовск;{"name": "нижневартовск"}
20054;нижневартовская;{"name": "нижневартовская"}
20055;нижневартовское;{"name": "нижневартовское"}
20056;нижневолжская;{"name": "нижневолжская"}
20057;нижнегородская;{"name": "нижнегородская"}
20058;нижнегорская;{"name": "нижнегорская"}
20059;нижнегусельская;{"name": "нижнегусельская"}
20060;нижнедобринское;{"name": "нижнедобринское"}
20061;нижнедонская;{"name": "нижнедонская"}
20062;нижнее;{"name": "нижнее"}
20063;нижнее валуево;{"name": "нижнее валуево"}
20064;нижнее гурово;{"name": "нижнее гурово"}
20065;нижнее елькино;{"name": "нижнее елькино"}
20066;нижнее жданово;{"name": "нижнее жданово"}
20067;нижнее муханово;{"name": "нижнее муханово"}
20068;нижнее мячково;{"name": "нижнее мячково"}
20069;нижнее сосково;{"name": "нижнее сосково"}
20070;нижнезаводская;{"name": "нижнезаводская"}
20071;нижнезаречная;{"name": "нижнезаречная"}
20072;нижнеивкино;{"name": "нижнеивкино"}
20073;нижнекаменская;{"name": "нижнекаменская"}
20074;нижнекамск;{"name": "нижнекамск"}
20075;нижнекамская;{"name": "нижнекамская"}
20076;нижнекамская 2я;{"name": "нижнекамская 2я"}
20077;нижнекамский;{"name": "нижнекамский"}
20078;нижнекамскмира;{"name": "нижнекамскмира"}
20079;нижнекамск10;{"name": "нижнекамск10"}
20080;нижнекарьерная;{"name": "нижнекарьерная"}
20081;нижнекачкинская;{"name": "нижнекачкинская"}
20082;нижнекурьинская;{"name": "нижнекурьинская"}
20083;нижнелоговая;{"name": "нижнелоговая"}
20084;нижнелуговая;{"name": "нижнелуговая"}
20085;нижнеманайская;{"name": "нижнеманайская"}
20086;нижнемахово;{"name": "нижнемахово"}
20087;нижнемостовая;{"name": "нижнемостовая"}
20088;нижнемуллинская;{"name": "нижнемуллинская"}
20089;нижненабережная;{"name": "нижненабережная"}
20090;нижненольная;{"name": "нижненольная"}
20091;нижнеосиновский;{"name": "нижнеосиновский"}
20092;нижнепадовская;{"name": "нижнепадовская"}
20093;нижнепечерская;{"name": "нижнепечерская"}
20094;нижнепионерская;{"name": "нижнепионерская"}
20095;нижнеполевая;{"name": "нижнеполевая"}
20096;нижнепортовая;{"name": "нижнепортовая"}
20097;нижнепортовая 4;{"name": "нижнепортовая 4"}
20098;нижнеростинское;{"name": "нижнеростинское"}
20099;нижнесадовая;{"name": "нижнесадовая"}
20100;нижнесибирская;{"name": "нижнесибирская"}
20101;нижнесмородино;{"name": "нижнесмородино"}
20102;нижнетавдинская;{"name": "нижнетавдинская"}
20103;нижнетагильская;{"name": "нижнетагильская"}
20104;нижнетатарская;{"name": "нижнетатарская"}
20105;нижнетрубежная;{"name": "нижнетрубежная"}
20106;нижнеудинская;{"name": "нижнеудинская"}
20107;нижнехлебная;{"name": "нижнехлебная"}
20108;нижнехоперский;{"name": "нижнехоперский"}
20109;нижнечирская;{"name": "нижнечирская"}
20110;нижние;{"name": "нижние"}
20111;нижние борки;{"name": "нижние борки"}
20112;нижние мневники;{"name": "нижние мневники"}
20113;нижние осельки;{"name": "нижние осельки"}
20114;нижние поля;{"name": "нижние поля"}
20115;нижние присады;{"name": "нижние присады"}
20116;нижний;{"name": "нижний"}
20117;нижний вожой;{"name": "нижний вожой"}
20118;нижний дубовец;{"name": "нижний дубовец"}
20119;нижний журавлёв;{"name": "нижний журавлёв"}
20120;нижний новгород;{"name": "нижний новгород"}
20121;нижний парк;{"name": "нижний парк"}
20122;нижний план;{"name": "нижний план"}
20123;нижний реут;{"name": "нижний реут"}
20124;нижний реутец;{"name": "нижний реутец"}
20125;нижний рудник;{"name": "нижний рудник"}
20126;нижний склад;{"name": "нижний склад"}
20127;нижний судок;{"name": "нижний судок"}
20128;нижний 3й;{"name": "нижний 3й"}
20129;нижний 4й;{"name": "нижний 4й"}
20130;нижнийаянтуй;{"name": "нижнийаянтуй"}
20131;нижняя;{"name": "нижняя"}
20132;нижняя балка;{"name": "нижняя балка"}
20133;нижняя березка2;{"name": "нижняя березка2"}
20134;нижняя быковка;{"name": "нижняя быковка"}
20135;нижняя дебря;{"name": "нижняя дебря"}
20136;нижняя добринка;{"name": "нижняя добринка"}
20137;нижняя дуброва;{"name": "нижняя дуброва"}
20138;нижняя здоровье;{"name": "нижняя здоровье"}
20139;нижняя золотица;{"name": "нижняя золотица"}
20140;нижняя колония;{"name": "нижняя колония"}
20141;нижняя логовая;{"name": "нижняя логовая"}
20142;нижняя луговая;{"name": "нижняя луговая"}
20143;нижняя манома;{"name": "нижняя манома"}
20144;нижняя омка;{"name": "нижняя омка"}
20145;нижняя омка мтс;{"name": "нижняя омка мтс"}
20146;нижняя пеша;{"name": "нижняя пеша"}
20147;нижняя площадка;{"name": "нижняя площадка"}
20148;нижняя полесье;{"name": "нижняя полесье"}
20149;нижняя салда;{"name": "нижняя салда"}
20150;нижняя сорговая;{"name": "нижняя сорговая"}
20151;нижняя студенка;{"name": "нижняя студенка"}
20152;нижняя тавда;{"name": "нижняя тавда"}
20153;нижняя торфяная;{"name": "нижняя торфяная"}
20154;нижняя упская;{"name": "нижняя упская"}
20155;низами;{"name": "низами"}
20156;низамутдинова;{"name": "низамутдинова"}
20157;низенькая;{"name": "низенькая"}
20158;низинка;{"name": "низинка"}
20159;низинная;{"name": "низинная"}
20160;низинный;{"name": "низинный"}
20161;низкая;{"name": "низкая"}
20162;низкий яр;{"name": "низкий яр"}
20163;низкое;{"name": "низкое"}
20164;низменная;{"name": "низменная"}
20165;низменное;{"name": "низменное"}
20166;низовая;{"name": "низовая"}
20167;низовая 1я;{"name": "низовая 1я"}
20168;низовая 2я;{"name": "низовая 2я"}
20169;низовая 3я;{"name": "низовая 3я"}
20170;низовка;{"name": "низовка"}
20171;низово;{"name": "низово"}
20172;низовой;{"name": "низовой"}
20173;низовская;{"name": "низовская"}
20174;низяева;{"name": "низяева"}
20175;нии радио;{"name": "нии радио"}
20176;нийская;{"name": "нийская"}
20177;ника жск ника;{"name": "ника жск ника"}
20178;никаам;{"name": "никаам"}
20179;никелевое;{"name": "никелевое"}
20180;никель пгт;{"name": "никель пгт"}
20181;никельская;{"name": "никельская"}
20182;никельщиков;{"name": "никельщиков"}
20183;никитенко;{"name": "никитенко"}
20184;никитина;{"name": "никитина"}
20185;никитина 1й;{"name": "никитина 1й"}
