1;Анвер;{"name": "Анвер", "full": "Анвер", "diminutive": "", "sex": "м"}
2;Бахтер;{"name": "Бахтер", "full": "Бахтер", "diminutive": "", "sex": "м"}
3;Бахтиер;{"name": "Бахтиер", "full": "Бахтиер", "diminutive": "", "sex": "м"}
4;Гулсина;{"name": "Гулсина", "full": "Гулсина", "diminutive": "", "sex": "ж"}
5;Гульгена;{"name": "Гульгена", "full": "Гульгена", "diminutive": "", "sex": "ж"}
6;Гульзада;{"name": "Гульзада", "full": "Гульзада", "diminutive": "", "sex": "ж"}
7;Гульсум;{"name": "Гульсум", "full": "Гульсум", "diminutive": "", "sex": "ж"}
8;Гюландам;{"name": "Гюландам", "full": "Гюландам", "diminutive": "", "sex": "ж"}
9;Гюландам;{"name": "Гюландам", "full": "Гюландам", "diminutive": "", "sex": "ж"}
10;Замзамия;{"name": "Замзамия", "full": "Замзамия", "diminutive": "", "sex": "ж"}
11;Зубайда;{"name": "Зубайда", "full": "Зубайда", "diminutive": "", "sex": "ж"}
12;Кароматулло;{"name": "Кароматулло", "full": "Кароматулло", "diminutive": "", "sex": "м"}
13;Мамати;{"name": "Мамати", "full": "Мамати", "diminutive": "", "sex": "м"}
14;Маскуда;{"name": "Маскуда", "full": "Маскуда", "diminutive": "", "sex": "ж"}
15;Назирджан;{"name": "Назирджан", "full": "Назирджан", "diminutive": "", "sex": "м"}
16;Назирджон;{"name": "Назирджон", "full": "Назирджон", "diminutive": "", "sex": "м"}
17;Нурзида;{"name": "Нурзида", "full": "Нурзида", "diminutive": "", "sex": "ж"}
18;Рауза;{"name": "Рауза", "full": "Рауза", "diminutive": "", "sex": "ж"}
19;Собиржон;{"name": "Собиржон", "full": "Собиржон", "diminutive": "", "sex": "м"}
20;Содиржон;{"name": "Содиржон", "full": "Содиржон", "diminutive": "", "sex": "м"}
21;Содыржон;{"name": "Содыржон", "full": "Содыржон", "diminutive": "", "sex": "м"}
22;Соелма;{"name": "Соелма", "full": "Соелма", "diminutive": "", "sex": "ж"}
23;Фергат;{"name": "Фергат", "full": "Фергат", "diminutive": "", "sex": "м"}
24;Фиргат;{"name": "Фиргат", "full": "Фиргат", "diminutive": "", "sex": "м"}
